seeking_computing_required,seeking_computing_skills,seeking_computing_career_advance,seeking_computing_career_change,seeking_computing_develop,seeking_computing_job,seeking_computing_relocation,seeking_computing_certification,seeking_comuputing_financial,seeking_computing_personal,seeking_computing_curiosity,gender,course,degree,interest,age,decision_cost,decision_location,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_class,decision_extracurricular,website,billboard,tv,socials,radio,community,family,employer,attendee,alumni,high_school
No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Prefer not to say,CMP 126 Computer Technology and Applications,Liberal Arts,2,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Woman,CMP 126 Computer Technology and Applications,child psychology ,3,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,High Impact,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Man,CMP 126 Computer Technology and Applications,Broadcasting Arts and Technology,5,18 and younger,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No
No,Yes,No,No,No,No,No,No,No,No,No,Man,CMP 126 Computer Technology and Applications,analyst,3,19-20,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Journalism,3,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Liberal Arts,3,19-20,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Early Childhood Education,3,19-20,Some Impact,Some Impact,High Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Woman,CMP 101 Computer Information Literacy,Nursing,3,18 and younger,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Liberal Arts,2,19-20,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 101 Computer Information Literacy,Liberal Arts,1,19-20,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes
